"Callback comments","Callback -kommentarer"
"Transaction mode","Transaktionsläge"
"Bank account details to transfer the amount","Bankkontouppgifter för att överföra beloppet"
"Guarantee payment pending comments","Garanti betalning i väntan på kommentarer"
"Transaction ID","Transaktions ID"
"Payment method","Betalningsmetod"
"novalnetCreditCard","Kredit-/betalkort"
"novalnetSepa","Direktdebitering SEPA"
"novalnetInvoice","Faktura"
"novalnetPrepayment","Förskottsbetalning"
"novalnetIdeal,"iDEAL"
"novalnetSofort","Sofort"
"novalnetGiropay","giropay"
"novalnetBarzahlen","Barzahlen/viacash"
"novalnetPrzelewy","Przelewy24"
"novalnetEps","eps"
"novalnetPaypal","PayPal"
"novalnetPostfinanceCard","PostFinance Card"
"novalnetPostfinance","PostFinance E-Finance"
"novalnetBancontact","Bancontact"
"novalnetMultibanco","Multibanco"

